"sample","prefix","timepoint","replicate","well","file","condition_label","label","PC1","PC2","PC3","PC4"
"R1_T0","10MIN_MPS12351786_D02","0","rep1","D02","10MIN_MPS12351786_D02.quant.genes.sf","Vehicle","R1_Vehicle",-1.53308617232013,0.133328066855527,1.51517966703574,1.75700218579864
"R1_T5","15MIN_MPS12351786_E02","5","rep1","E02","15MIN_MPS12351786_E02.quant.genes.sf","5min Netrin-1","R1_5min",-0.494334535698447,-0.984422814113692,2.60725432565336,-0.293214917751866
"R1_T15","115MIN_MPS12351786_F02","15","rep1","F02","115MIN_MPS12351786_F02.quant.genes.sf","15min Netrin-1","R1_15min",-3.41911903116699,0.7692943648907,1.22266485024296,0.882759155850703
"R2_T0","20MIN_MPS12351786_B03","0","rep2","B03","20MIN_MPS12351786_B03.quant.genes.sf","Vehicle","R2_Vehicle",-3.15915643447239,-0.532271851357902,-2.37600174349963,1.00092404763057
"R2_T5","25MIN_MPS12351786_C03","5","rep2","C03","25MIN_MPS12351786_C03.quant.genes.sf","5min Netrin-1","R2_5min",0.711144453972197,-2.91452895853798,0.104447010124015,-1.47033589371927
"R2_T15","215MIN_MPS12351786_D03","15","rep2","D03","215MIN_MPS12351786_D03.quant.genes.sf","15min Netrin-1","R2_15min",-1.22877908171128,-1.97239592346714,-1.58136561501599,-1.3822487028939
"R3_T0","30MIN_MPS12351786_H03","0","rep3","H03","30MIN_MPS12351786_H03.quant.genes.sf","Vehicle","R3_Vehicle",-0.68325059773982,4.18423060649221,0.0269072859900824,-2.28271014004554
"R3_T5","35MIN_MPS12351786_A04","5","rep3","A04","35MIN_MPS12351786_A04.quant.genes.sf","5min Netrin-1","R3_5min",7.21074285310272,-0.0528016938242098,0.483280282528041,0.406422400508465
"R3_T15","315MIN_MPS12351786_B04","15","rep3","B04","315MIN_MPS12351786_B04.quant.genes.sf","15min Netrin-1","R3_15min",2.59583854603415,1.36956820306248,-2.00236606305859,1.3814018646222
