"ensembl","symbol","entrez"
"ENSRNOG00000019582","Mthfd1l","361472"
"ENSRNOG00000019549","Akap12","83425"
"ENSRNOG00000019544","Zbtb2","308126"
"ENSRNOG00000019501","Rmnd1","292268"
"ENSRNOG00000019489","Dcph1","292267"
"ENSRNOG00000018960","Syne1","499010"
"ENSRNOG00000024077","Fbxo5","292263"
"ENSRNOG00000018773","Mtrf1l","361473"
"ENSRNOG00000018690","Rgs17","308118"
"ENSRNOG00000018191","Oprm1","25601"
"ENSRNOG00000059866",NA,NA
"ENSRNOG00000018163","Ipcef1","361474"
"ENSRNOG00000018052","Cnksr3","308113"
"ENSRNOG00000004144",NA,NA
"ENSRNOG00000016919","Scaf8","245926"
"ENSRNOG00000057561",NA,NA
"ENSRNOG00000016728","Tiam2","100362710"
"ENSRNOG00000056223","Tfb1m","308140"
"ENSRNOG00000017030","Arid1b","282546"
"ENSRNOG00000016973","Tmem242","292228"
"ENSRNOG00000029049","Zdhhc14","499014"
"ENSRNOG00000046874","Snx9","683687"
"ENSRNOG00000017114","Synj2","84018"
"ENSRNOG00000017889","Serac1","499015"
"ENSRNOG00000018007","Gtf2h5","502227"
"ENSRNOG00000018012","Tulp4","499016"
"ENSRNOG00000018158","Tmem181","502228"
"ENSRNOG00000018207","Dynlt1","83462"
"ENSRNOG00000018524","Ezr","54319"
"ENSRNOG00000018762","Rsph3","361476"
"ENSRNOG00000018935",NA,NA
"ENSRNOG00000030210","Fndc1","308099"
"ENSRNOG00000019048",NA,NA
"ENSRNOG00000019091","Wtap","499020"
"ENSRNOG00000019189","Acat2","308100"
"ENSRNOG00000013975","Acat2l1","365096"
"ENSRNOG00000014160","Tcp1","24818"
"ENSRNOG00000014582","Mrpl18","292244"
"ENSRNOG00000023140","Pnldc1","361478"
"ENSRNOG00000014971","Mas1","25153"
"ENSRNOG00000014997","Igf2r","25151"
"ENSRNOG00000022946","Slc22a3","29504"
"ENSRNOG00000017412",NA,NA
"ENSRNOG00000017419","Map3k4","308106"
"ENSRNOG00000017731","Agpat4","170919"
"ENSRNOG00000055547","Prkn","56816"
"ENSRNOG00000048297","Qki","499022"
"ENSRNOG00000011310","Pde10a","63885"
"ENSRNOG00000024149",NA,NA
"ENSRNOG00000024140","Sft2d1","292305"
"ENSRNOG00000012415","Mpc1","171087"
"ENSRNOG00000055093","Cep43","683722"
"ENSRNOG00000013190","Rnaset2","292306"
"ENSRNOG00000013194","Rps6ka2","117269"
"ENSRNOG00000023753","Afdn","26955"
"ENSRNOG00000051938",NA,NA
"ENSRNOG00000051553",NA,NA
"ENSRNOG00000046250",NA,NA
"ENSRNOG00000054056",NA,NA
"ENSRNOG00000022921","Dact2","308212"
"ENSRNOG00000014166","Smoc2","292401"
"ENSRNOG00000010529","Thbs2","292406"
"ENSRNOG00000015609","Wdr27","308222"
"ENSRNOG00000015597",NA,NA
"ENSRNOG00000061312","Phf10","292404"
"ENSRNOG00000015230","Ermard","361485"
"ENSRNOG00000059984","Dll1","84010"
"ENSRNOG00000058790","Fam120b","308218"
"ENSRNOG00000001488","Psmb1","94198"
"ENSRNOG00000001489","Tbp","117526"
"ENSRNOG00000001490","Pdcd2","58934"
"ENSRNOG00000014434","Chd1","308215"
"ENSRNOG00000048190",NA,NA
"ENSRNOG00000012692","Riok2","308201"
"ENSRNOG00000012988","Lix1","292381"
"ENSRNOG00000047387",NA,NA
"ENSRNOG00000011234",NA,NA
"ENSRNOG00000011282","Ppp2r1a","117281"
"ENSRNOG00000059492","Zfp160","100365363"
"ENSRNOG00000052406",NA,NA
"ENSRNOG00000051578",NA,NA
"ENSRNOG00000042347","Zfp53","308236"
"ENSRNOG00000042826","Zfp52","361487"
"ENSRNOG00000043341","Zfp51l1","499056"
"ENSRNOG00000042547",NA,NA
"ENSRNOG00000058030","Zfp748-ps1","682206"
"ENSRNOG00000057250",NA,NA
"ENSRNOG00000051570",NA,NA
"ENSRNOG00000047884",NA,NA
"ENSRNOG00000026569",NA,NA
"ENSRNOG00000061533","Zfp945","100362641"
"ENSRNOG00000011675","Zfp40","690661"
"ENSRNOG00000055843",NA,NA
"ENSRNOG00000058909","Rps9","103689992"
"ENSRNOG00000055179",NA,NA
"ENSRNOG00000052600","Mboat7","308309"
"ENSRNOG00000059572","Tsen34","292534"
"ENSRNOG00000054459",NA,NA
"ENSRNOG00000061893","Leng1","292535"
"ENSRNOG00000053234","Cnot3","308311"
"ENSRNOG00000061039","Prpf31","292536"
"ENSRNOG00000056098","Tfpt","85423"
"ENSRNOG00000060293","Ndufa3","691001"
"ENSRNOG00000057848","Cacng8","140729"
"ENSRNOG00000056257","Cacng7","140728"
"ENSRNOG00000054371","Prkcg","24681"
"ENSRNOG00000053450","Myadm","369016"
"ENSRNOG00000056036","Zfp51","103691005"
"ENSRNOG00000056327",NA,NA
"ENSRNOG00000027550","Mzf1","361508"
"ENSRNOG00000027514",NA,NA
"ENSRNOG00000043328","Ube2m","361509"
"ENSRNOG00000027487","Trim28","116698"
"ENSRNOG00000027459","Zbtb45","308366"
"ENSRNOG00000060429","Zfp446","102552463"
"ENSRNOG00000019623",NA,NA
"ENSRNOG00000027436","Zfp324","365192"
"ENSRNOG00000019453","Rps5","25538"
"ENSRNOG00000031113","Zscan22","102553002"
"ENSRNOG00000031459","Znf8","120099766"
"ENSRNOG00000031328","Zfp110","308362"
"ENSRNOG00000019376","Zfp329","308361"
"ENSRNOG00000026861","Zscan18","499083"
"ENSRNOG00000019127",NA,NA
"ENSRNOG00000055247",NA,NA
"ENSRNOG00000060288","Eif3el1","100365062"
"ENSRNOG00000047230",NA,NA
"ENSRNOG00000019082",NA,NA
"ENSRNOG00000046455","Zik1","102554457"
"ENSRNOG00000055229","Lnpep","171105"
"ENSRNOG00000047013",NA,NA
"ENSRNOG00000015271","Zfp418","292548"
"ENSRNOG00000050476",NA,NA
"ENSRNOG00000015598","Zfp772","308318"
"ENSRNOG00000050407",NA,NA
"ENSRNOG00000046153",NA,NA
"ENSRNOG00000047061","Zfp773-ps1","502292"
"ENSRNOG00000022742","Zfp954","308320"
"ENSRNOG00000015825","Aurkc","292554"
"ENSRNOG00000015956","Usp29","361495"
"ENSRNOG00000014791","Peg3","103691034"
"ENSRNOG00000015071","Zim1","308322"
