"ensembl","symbol","entrez"
"ENSRNOG00000007041","Abcg2","312382"
"ENSRNOG00000007304","Herc3","362377"
"ENSRNOG00000007808",NA,NA
"ENSRNOG00000007947","Fam13a","362378"
"ENSRNOG00000038449","Tigd2","100912924"
"ENSRNOG00000023657","Gprin3","502784"
"ENSRNOG00000008656","Snca","29219"
"ENSRNOG00000029321","Ccser1","500153"
"ENSRNOG00000038437",NA,NA
"ENSRNOG00000005630","Hint1-ps1","60580"
"ENSRNOG00000006174","Grid2","79220"
"ENSRNOG00000006391","Smarcad1","312398"
"ENSRNOG00000006857","Ndnf","312401"
"ENSRNOG00000023679","Prdm5","689788"
"ENSRNOG00000005376","Mad2l1","297176"
"ENSRNOG00000050231","Gng12","114120"
"ENSRNOG00000005615","Gadd45a","25112"
"ENSRNOG00000005890","Serbp1","246303"
"ENSRNOG00000007270","Il12rb2","171334"
"ENSRNOG00000005576","Rpia","362383"
"ENSRNOG00000006069","Eif2ak3","29702"
"ENSRNOG00000006508","Thnsl2","297332"
"ENSRNOG00000007124","Krcc1","312437"
"ENSRNOG00000028422",NA,NA
"ENSRNOG00000007272","Rnf103","84508"
"ENSRNOG00000007356","Chmp3","282834"
"ENSRNOG00000007814","Kdm3a","312440"
"ENSRNOG00000008481","Reep1","362384"
"ENSRNOG00000008546","Mrpl35","297334"
"ENSRNOG00000009097","Immt","312444"
"ENSRNOG00000009484","Ptcd3","500199"
"ENSRNOG00000009545","Polr1a","83581"
"ENSRNOG00000010284","St3gal5","83505"
"ENSRNOG00000010716","Atoh8","500200"
"ENSRNOG00000010930","Usp39","297336"
"ENSRNOG00000011713","C4h2orf68","691113"
"ENSRNOG00000061100","Tmem150a","245966"
"ENSRNOG00000012035","Rnf181","297337"
"ENSRNOG00000012975","Ggcx","81716"
"ENSRNOG00000013520","Mat2a","171347"
"ENSRNOG00000013668","Capg","297339"
"ENSRNOG00000038102","Elmod3","297342"
"ENSRNOG00000014090","Retsat","246298"
"ENSRNOG00000014617","Tgoln2","192152"
"ENSRNOG00000014753","Tcf7l1","312451"
"ENSRNOG00000015097","Kcmf1","684322"
"ENSRNOG00000042499",NA,NA
"ENSRNOG00000015581","Dnah6","117250"
"ENSRNOG00000005587","Suclg1","114597"
"ENSRNOG00000045790",NA,NA
"ENSRNOG00000006003","Ctnna2","297357"
"ENSRNOG00000006093","Lrrtm1","679668"
"ENSRNOG00000054121",NA,NA
"ENSRNOG00000021938","Lrrtm4","500219"
"ENSRNOG00000006888","Gcfc2","312474"
"ENSRNOG00000006968","Mrpl19","297372"
"ENSRNOG00000007118","Eva1a","500221"
"ENSRNOG00000005853","Tacr1","24807"
"ENSRNOG00000006102","Pole4","362385"
"ENSRNOG00000006116","Hk2","25059"
"ENSRNOG00000006784","Sema4f","29745"
"ENSRNOG00000007412","Dok1","312477"
"ENSRNOG00000061373","Loxl3","312478"
"ENSRNOG00000022448","Htra2","297376"
"ENSRNOG00000007842","Aup1","680423"
"ENSRNOG00000008062","Dqx1","680434"
"ENSRNOG00000008360",NA,NA
"ENSRNOG00000022326",NA,NA
"ENSRNOG00000053109",NA,NA
"ENSRNOG00000008648",NA,NA
"ENSRNOG00000008720","Wbp1","297381"
"ENSRNOG00000008873","Ino80b","500225"
"ENSRNOG00000059679",NA,NA
"ENSRNOG00000009324","Wdr54","500226"
"ENSRNOG00000051433","Pcgf1","312480"
"ENSRNOG00000058785","Ccdc142","297380"
"ENSRNOG00000052279",NA,NA
"ENSRNOG00000054176","Mogs","78947"
"ENSRNOG00000061902",NA,NA
"ENSRNOG00000057972",NA,NA
"ENSRNOG00000009022","Rtkn","297383"
"ENSRNOG00000060514",NA,NA
"ENSRNOG00000009917",NA,NA
"ENSRNOG00000010048","Dctn1","29167"
"ENSRNOG00000010378","Slc4a5","297386"
"ENSRNOG00000010833","Mthfd2","680308"
"ENSRNOG00000059474","Mob1a","297387"
"ENSRNOG00000021866","Bola3","297388"
"ENSRNOG00000011387","Tet3","680576"
"ENSRNOG00000011617","Dguok","297389"
"ENSRNOG00000029401","Actg2","25365"
"ENSRNOG00000012227","Stambp","171565"
"ENSRNOG00000013712","Tex261","297392"
"ENSRNOG00000013911","Nagk","297393"
"ENSRNOG00000014092",NA,NA
"ENSRNOG00000014501","Zfp638","312491"
"ENSRNOG00000032788","Dysf","312492"
"ENSRNOG00000015076","Cyp26b1","312495"
"ENSRNOG00000059615","Exoc6b","500233"
"ENSRNOG00000056916",NA,NA
"ENSRNOG00000015455","Spr","29270"
"ENSRNOG00000028235",NA,NA
"ENSRNOG00000015493","Emx1","500235"
"ENSRNOG00000037871","Sfxn5","261737"
"ENSRNOG00000056009","Rab11fip5","312502"
"ENSRNOG00000015589","Smyd5","312503"
"ENSRNOG00000050483","Pradc1","686393"
"ENSRNOG00000015630","Cct7","297406"
"ENSRNOG00000033202","Fbxo41","312504"
"ENSRNOG00000015719","Egr4","25129"
"ENSRNOG00000022343","Alms1","297408"
"ENSRNOG00000015799","Nat8f1","59300"
"ENSRNOG00000050645","Tprkb","297411"
"ENSRNOG00000045539","Dusp11","297412"
"ENSRNOG00000015903","Add2","24171"
"ENSRNOG00000015818",NA,NA
"ENSRNOG00000056962","Nat8b","171084"
"ENSRNOG00000022082",NA,NA
"ENSRNOG00000016182","Tgfa","24827"
"ENSRNOG00000016273","Timcc","297415"
"ENSRNOG00000016507","Snrpg","681031"
"ENSRNOG00000016704","Pcyox1","246302"
"ENSRNOG00000016813","Tia1","312510"
"ENSRNOG00000017380","C4h2orf42","312511"
"ENSRNOG00000017708","Pcbp1","500242"
"ENSRNOG00000059100",NA,NA
"ENSRNOG00000017720","Mxd1","362391"
"ENSRNOG00000017838","Gmcl1","312516"
"ENSRNOG00000018159","Anxa4","79124"
"ENSRNOG00000018317","Aak1","500244"
"ENSRNOG00000028747",NA,NA
"ENSRNOG00000018410","Nfu1","297416"
"ENSRNOG00000018507","Gfpt1","297417"
"ENSRNOG00000008678","Antxr1","362393"
"ENSRNOG00000009347","Arhgap25","500246"
"ENSRNOG00000009556","Prokr1","192648"
"ENSRNOG00000043059","Aplf","500247"
"ENSRNOG00000037768","Isy1","362394"
"ENSRNOG00000010021",NA,NA
"ENSRNOG00000010239","Cnbp","64530"
"ENSRNOG00000010474","Copg1","297428"
"ENSRNOG00000027722","H1f10","500252"
"ENSRNOG00000012247","Rab7a","29448"
"ENSRNOG00000046345","Rpn1","25596"
"ENSRNOG00000059069",NA,NA
"ENSRNOG00000012954","Eefsec","500255"
"ENSRNOG00000013195","Ruvbl1","65137"
"ENSRNOG00000060344",NA,NA
"ENSRNOG00000013743","Sec61a1","80843"
"ENSRNOG00000014508","Mgll","29254"
"ENSRNOG00000015762","Abtb1","297432"
"ENSRNOG00000016255","Podxl2","297433"
"ENSRNOG00000016316","Mcm2","312538"
"ENSRNOG00000016665","Tpra1","85494"
"ENSRNOG00000017003","Plxna1","362398"
"ENSRNOG00000060248","Chchd6","297436"
"ENSRNOG00000059810",NA,NA
"ENSRNOG00000025818","Zxdc","362399"
"ENSRNOG00000017808","Klf15","85497"
"ENSRNOG00000005390","Nup210","58958"
"ENSRNOG00000006824","Hdac11","297453"
"ENSRNOG00000007338","Fbln2","282583"
"ENSRNOG00000048782","Wnt7a","114850"
"ENSRNOG00000022466","Chchd4","312559"
"ENSRNOG00000007519","Tmem43","362401"
"ENSRNOG00000008274","Xpc","312560"
"ENSRNOG00000008733","Lsm3","297455"
"ENSRNOG00000060350","Iqsec1","686590"
"ENSRNOG00000045821","Slc41a3","641603"
"ENSRNOG00000047023","Aldh1l1","64392"
"ENSRNOG00000009726","Grip2","171571"
"ENSRNOG00000009019","Slc6a6","29464"
"ENSRNOG00000010090","Ccdc174","297458"
"ENSRNOG00000022155","C4h3orf20","500258"
"ENSRNOG00000010213","Fgd5","362402"
"ENSRNOG00000010536","Nr2c2","50659"
"ENSRNOG00000010912","Mrps25","297459"
"ENSRNOG00000011391","Rbsn","312562"
"ENSRNOG00000012364","Prickle2","312563"
"ENSRNOG00000023257","Adamts9","312566"
"ENSRNOG00000022060","Magi1","500261"
"ENSRNOG00000012831","Slc25a26","362403"
"ENSRNOG00000012952","Lrig1","312574"
"ENSRNOG00000013390","Kbtbd8","500262"
"ENSRNOG00000005686","Suclg2","362404"
"ENSRNOG00000024533","Eogt","494219"
"ENSRNOG00000056462","Tmf1","114206"
"ENSRNOG00000006221","Uba3","117553"
"ENSRNOG00000006818","Arl6ip5","66028"
"ENSRNOG00000007764","Frmd4b","252858"
"ENSRNOG00000008658","Mitf","25094"
"ENSRNOG00000009184","Foxp1","297480"
"ENSRNOG00000010301","Eif4e3","297481"
"ENSRNOG00000010880","Gpr27","65275"
"ENSRNOG00000005353","Rybp","312603"
"ENSRNOG00000005433","Shq1","297483"
"ENSRNOG00000005621","Gxylt2","688618"
"ENSRNOG00000024647","Ppp4r2","297486"
"ENSRNOG00000057556","Pdzrn3","312607"
"ENSRNOG00000006144","Cntn3","54279"
"ENSRNOG00000053654",NA,NA
"ENSRNOG00000032517","Cntn6","27256"
"ENSRNOG00000005652","Cntn4","116658"
"ENSRNOG00000006432","Trnt1","312616"
"ENSRNOG00000006534","Crbn","297498"
"ENSRNOG00000006802","Lrrn1","500280"
"ENSRNOG00000006806","Setmar","500281"
"ENSRNOG00000006813","Sumf1","362409"
"ENSRNOG00000007104","Itpr1","25262"
"ENSRNOG00000007152","Bhlhe40","79431"
"ENSRNOG00000055860","Arl8b","500282"
"ENSRNOG00000055365","Edem1","297504"
"ENSRNOG00000042732",NA,NA
"ENSRNOG00000005662","Grm7","81672"
"ENSRNOG00000005690","Lmcd1","494021"
"ENSRNOG00000005907","Rad18","362412"
"ENSRNOG00000006509","Srgap3","500287"
"ENSRNOG00000006941","Thumpd3","500288"
"ENSRNOG00000007472","Setd5","297514"
"ENSRNOG00000007727",NA,NA
"ENSRNOG00000007881","Mtmr14","312634"
"ENSRNOG00000008142","Brpf1","679713"
"ENSRNOG00000052140","Ogg1","81528"
"ENSRNOG00000021781","Camk1","171503"
"ENSRNOG00000008597","Tada3","362414"
"ENSRNOG00000008994","Arpc4","297518"
"ENSRNOG00000009032","Ttll3","362415"
"ENSRNOG00000009084","Rpusd3","362416"
"ENSRNOG00000009175","Jagn1","502872"
"ENSRNOG00000027376","Il17rc","297520"
"ENSRNOG00000009414","Creld1","312638"
"ENSRNOG00000009863","Prrt3","502873"
"ENSRNOG00000009934","Emc3","312640"
"ENSRNOG00000061085","Fancd2","312641"
"ENSRNOG00000010184","Brk1","679934"
"ENSRNOG00000010258","Vhl","24874"
"ENSRNOG00000021817","Irak2","362418"
"ENSRNOG00000042482","Tatdn2","500295"
"ENSRNOG00000010628","Sec13","297522"
"ENSRNOG00000030269","Atp2b2","24215"
"ENSRNOG00000005697","Slc6a11","79213"
"ENSRNOG00000006527","Slc6a1","79212"
"ENSRNOG00000007486","Atg7","312647"
"ENSRNOG00000007822","Vgll4","297523"
"ENSRNOG00000007874","Tamm41","362419"
"ENSRNOG00000008157","Syn2","29179"
"ENSRNOG00000028826",NA,NA
"ENSRNOG00000060175","Tsen2","312649"
"ENSRNOG00000009176","Mkrn2","297525"
"ENSRNOG00000010153","Raf1","24703"
"ENSRNOG00000010473","Cand2","192226"
"ENSRNOG00000010746","Rpl32","28298"
"ENSRNOG00000010919","Mbd4","680915"
"ENSRNOG00000010952","Ift122","312651"
"ENSRNOG00000025209","Plxnd1","312652"
"ENSRNOG00000059964",NA,NA
"ENSRNOG00000011614","Tmcc1","312654"
"ENSRNOG00000011606","Ssbl1","680385"
"ENSRNOG00000011653","Washc2c","297530"
"ENSRNOG00000011791","Zfand4","286998"
"ENSRNOG00000012297","Marchf8","312656"
"ENSRNOG00000013379","Zfp422","360389"
"ENSRNOG00000013526","Rassf4","362423"
"ENSRNOG00000013589","Cxcl12","24772"
"ENSRNOG00000049269",NA,NA
"ENSRNOG00000023065","Zfp637","362425"
"ENSRNOG00000014552",NA,NA
"ENSRNOG00000014562","Hnrnpf","64200"
"ENSRNOG00000031671","Rasgef1a","312664"
"ENSRNOG00000014713","Csgalnact2","297554"
"ENSRNOG00000014751","Ret","24716"
"ENSRNOG00000006576","Bms1","362426"
"ENSRNOG00000037251","Zfp248","500304"
"ENSRNOG00000006726","Zfp9","100158232"
"ENSRNOG00000006717","Ankrd26","312667"
"ENSRNOG00000007090","Cacna1c","24239"
"ENSRNOG00000007340","Dcp1b","500305"
"ENSRNOG00000007508","Lrtm2","680883"
"ENSRNOG00000007990","Adipor2","312670"
"ENSRNOG00000008168","Wnt5b","282582"
"ENSRNOG00000000021",NA,NA
"ENSRNOG00000009264","Erc1","266806"
"ENSRNOG00000009742","Rad52","297561"
"ENSRNOG00000009956","Wnk1","116477"
"ENSRNOG00000037206","Ccdc77","312677"
"ENSRNOG00000010591","Kdm5a","312678"
"ENSRNOG00000011153","Il17ra","312679"
"ENSRNOG00000046851",NA,NA
"ENSRNOG00000011338","Hdhd5","312680"
"ENSRNOG00000011566","Cecr2","500308"
"ENSRNOG00000042731","Slc25a18","681896"
"ENSRNOG00000011905","Atp6v1e1","297566"
"ENSRNOG00000012394","Bcl2l13","312682"
"ENSRNOG00000012439","Bid","64625"
"ENSRNOG00000053203","Mical3","362427"
"ENSRNOG00000049982","Pex26","297570"
"ENSRNOG00000014083","Iqsec3","404781"
"ENSRNOG00000028896","A2m","24153"
"ENSRNOG00000045772",NA,NA
"ENSRNOG00000059373",NA,NA
"ENSRNOG00000015191","Phc1","312690"
"ENSRNOG00000023814",NA,NA
"ENSRNOG00000015411","Apobec1","25383"
"ENSRNOG00000008376","Slc2a3","25551"
"ENSRNOG00000009000","Foxj2","502886"
"ENSRNOG00000009211","C3ar1","84007"
"ENSRNOG00000009236","Necap1","312694"
"ENSRNOG00000049298",NA,NA
"ENSRNOG00000042139","Clec4a1","362430"
"ENSRNOG00000010407",NA,NA
"ENSRNOG00000049203","Pex5","312703"
"ENSRNOG00000011156","Clstn3","171393"
"ENSRNOG00000011796","C1r","312705"
"ENSRNOG00000011971","C1s","192262"
"ENSRNOG00000012269","Lpcat3","362434"
"ENSRNOG00000012828","Emg1","312706"
"ENSRNOG00000012999","Phb2","114766"
"ENSRNOG00000014294","Ptpn6","116689"
"ENSRNOG00000025810",NA,NA
"ENSRNOG00000060594","Atn1","29515"
"ENSRNOG00000013141","Eno2","24334"
"ENSRNOG00000026309","Lrrc23","312707"
"ENSRNOG00000015125","Spsb2","297592"
"ENSRNOG00000015290","Tpi1","24849"
"ENSRNOG00000015409","Usp5","297593"
"ENSRNOG00000015529","Cdca3","297594"
"ENSRNOG00000015541","Gnb3","60449"
"ENSRNOG00000016071",NA,NA
"ENSRNOG00000016143","Gpr162","362436"
"ENSRNOG00000060098","Ptms","83801"
"ENSRNOG00000016589","Mlf2","312709"
"ENSRNOG00000016778","Cops7a","312710"
"ENSRNOG00000017052","Pianp","312711"
"ENSRNOG00000017066","Zfp384","171018"
"ENSRNOG00000023363","Ing4","297597"
"ENSRNOG00000017399","Acrbp","500316"
"ENSRNOG00000018309","Chd4","117535"
"ENSRNOG00000018453","Nop2","314969"
"ENSRNOG00000018533","Iffo1","362437"
"ENSRNOG00000018630","Gapdh","24383"
"ENSRNOG00000055300","Ncapd2","362438"
"ENSRNOG00000019165","Mrpl51","297601"
"ENSRNOG00000019219","Vamp1","25624"
"ENSRNOG00000027552",NA,NA
"ENSRNOG00000019264","Ltbr","297604"
"ENSRNOG00000031312","Tnfrsf1a","25625"
"ENSRNOG00000019556","Cd9","24936"
"ENSRNOG00000019689","Vwf","116669"
"ENSRNOG00000019716","Ntf3","81737"
"ENSRNOG00000019750",NA,NA
"ENSRNOG00000052486","Kcna6","64358"
"ENSRNOG00000061684","Ndufa9","362440"
"ENSRNOG00000059227","Akap3","312720"
"ENSRNOG00000059878","Rad51ap1","689055"
"ENSRNOG00000055036","Ferry3","297607"
"ENSRNOG00000051816","Tigar","502894"
"ENSRNOG00000057710",NA,NA
"ENSRNOG00000060689","Parp11","500323"
"ENSRNOG00000053804","Prmt8","688502"
"ENSRNOG00000054360","Tspan11","312727"
"ENSRNOG00000051620","Tspan9","312728"
"ENSRNOG00000005608","Tead4","683522"
"ENSRNOG00000005767","Tulp3","688749"
"ENSRNOG00000028517","Rhno1","297627"
"ENSRNOG00000005936","Foxm1","58921"
"ENSRNOG00000006264","Itfg2","362441"
"ENSRNOG00000006444","Fkbp4","260321"
"ENSRNOG00000030522","Clec2d2l3","500331"
"ENSRNOG00000061420","LOC102553980","102553980"
"ENSRNOG00000059538","Clec2g","362447"
"ENSRNOG00000058457","Chtopl1","500378"
"ENSRNOG00000060460","Clec1a","500337"
"ENSRNOG00000053362","Gabarapl1","689161"
"ENSRNOG00000055662",NA,NA
"ENSRNOG00000010316","Magohb","690303"
"ENSRNOG00000010347","Styk1","500340"
"ENSRNOG00000005480","Ybx3","83807"
"ENSRNOG00000047309",NA,NA
"ENSRNOG00000005984",NA,NA
"ENSRNOG00000006338","Lrp6","312781"
"ENSRNOG00000028526","Mansc1","690606"
"ENSRNOG00000006505","Borcs5","362452"
"ENSRNOG00000006628","Dusp16","297682"
"ENSRNOG00000007115",NA,NA
"ENSRNOG00000007126","Gpr19","312787"
"ENSRNOG00000007249","Cdkn1b","83571"
"ENSRNOG00000007830","Apold1","444983"
"ENSRNOG00000007838","Ddx47","297685"
"ENSRNOG00000000024","Hebp1","362454"
"ENSRNOG00000008443","Fam234b","362455"
"ENSRNOG00000008676","Emp1","25314"
"ENSRNOG00000008766","Grin2b","24410"
"ENSRNOG00000059558",NA,NA
"ENSRNOG00000005505","Wbp11","297695"
"ENSRNOG00000008870","Atf7ip","312800"
"ENSRNOG00000045840",NA,NA
"ENSRNOG00000033045",NA,NA
"ENSRNOG00000049593",NA,NA
"ENSRNOG00000005695","Mgp","25333"
"ENSRNOG00000005809","Arhgdib","362456"
"ENSRNOG00000027592","Rerg","502916"
"ENSRNOG00000006231","Ptpro","50677"
"ENSRNOG00000007047","Eps8","312812"
"ENSRNOG00000007134","Strap","297699"
"ENSRNOG00000007570","Dera","690945"
"ENSRNOG00000007743","Mgst1","171341"
"ENSRNOG00000047450","Lmo3","497798"
"ENSRNOG00000048985",NA,NA
"ENSRNOG00000008747","Plekha5","246237"
"ENSRNOG00000008929","Aebp2","297705"
"ENSRNOG00000025042","Pde3a","50678"
"ENSRNOG00000009740","Slco1c1","84511"
"ENSRNOG00000012472","Pyroxd1","297708"
"ENSRNOG00000012602","Recql","312824"
"ENSRNOG00000058386","Golt1b","362460"
"ENSRNOG00000013000","Ldhb","24534"
"ENSRNOG00000036960","Abcc9","25560"
"ENSRNOG00000013816","Cmas","312826"
"ENSRNOG00000014018","St8sia1","25280"
"ENSRNOG00000014382","C2cd5","362461"
"ENSRNOG00000014856","Etnk1","312828"
"ENSRNOG00000027869","Sox5","140587"
"ENSRNOG00000033855",NA,NA
"ENSRNOG00000015514","Bcat1","29592"
"ENSRNOG00000029308","Irag2","500361"
"ENSRNOG00000027630","Dnai7","297720"
"ENSRNOG00000015848",NA,NA
"ENSRNOG00000009338",NA,NA
"ENSRNOG00000015986","Rassf8","312846"
"ENSRNOG00000001804","Itpr2","81678"
"ENSRNOG00000001808","Ints13","690728"
"ENSRNOG00000001811","Fgfr1op2","362463"
"ENSRNOG00000001817","Tm7sf3","297725"
"ENSRNOG00000001820","Med21","312849"
"ENSRNOG00000001828","Stk38l","691337"
"ENSRNOG00000031709","Ppfibp1","312855"
"ENSRNOG00000001842","Mrps35","297727"
"ENSRNOG00000001844","Klhl42","500367"
"ENSRNOG00000001847","Ccdc91","312863"
"ENSRNOG00000001851","Far2","500368"
"ENSRNOG00000001852","Ergic2","297728"
"ENSRNOG00000001854","Tmtc1","362465"
"ENSRNOG00000031041",NA,NA
"ENSRNOG00000056041","Ipo8","686774"
"ENSRNOG00000047319","Caprin2","686779"
"ENSRNOG00000049943","Sinhcaf","686611"
"ENSRNOG00000049378","Dennd5b","100365679"
"ENSRNOG00000036918","Etfbkmt","316976"
"ENSRNOG00000036917","Amn1","302032"
"ENSRNOG00000036913","Resf1","316982"
"ENSRNOG00000036911","Bicd1","362466"
"ENSRNOG00000036910","Rimklbl1","100362344"
"ENSRNOG00000005062",NA,NA
"ENSRNOG00000005070","Spopl","296532"
"ENSRNOG00000005223","Hnmt","81676"
"ENSRNOG00000005871","Il1rn","60582"
"ENSRNOG00000004560","Cacna1b","257648"
"ENSRNOG00000007242","Ehmt1","362078"
"ENSRNOG00000007622","Arrdc1","366001"
"ENSRNOG00000007752","Zmynd19","311791"
"ENSRNOG00000008102","Dph7","296550"
"ENSRNOG00000029875",NA,NA
"ENSRNOG00000008190","Pnpla7","246246"
"ENSRNOG00000008810","Nsmf","117536"
"ENSRNOG00000009354","Nrarp","499745"
"ENSRNOG00000009369","Tor4a","311795"
"ENSRNOG00000009377","Nelfb","311796"
"ENSRNOG00000010170","Tubb4b","296554"
"ENSRNOG00000010600","Cysrt1","499747"
"ENSRNOG00000010607","Rnf208","499748"
"ENSRNOG00000010616","Ndor1","311799"
"ENSRNOG00000010894",NA,NA
"ENSRNOG00000010896","Tprn","499749"
"ENSRNOG00000011093","Ssna1","311802"
"ENSRNOG00000011295","Anapc2","296558"
"ENSRNOG00000011726","Grin1","24408"
"ENSRNOG00000012559","Man1b1","499751"
"ENSRNOG00000012640","Dpp7","83799"
"ENSRNOG00000012960","Uap1l1","296560"
"ENSRNOG00000013069","Sapcd2","680531"
"ENSRNOG00000013102","Entpd2","64467"
"ENSRNOG00000013895",NA,NA
"ENSRNOG00000014268","Abca2","79248"
"ENSRNOG00000015294","Paxx","296565"
"ENSRNOG00000028701","Lcn12","680602"
"ENSRNOG00000028674","Fbxw5","362081"
"ENSRNOG00000006238","Traf2","311786"
"ENSRNOG00000016272",NA,NA
"ENSRNOG00000016584","Mamdc4","252882"
"ENSRNOG00000016723",NA,NA
"ENSRNOG00000033863","Phpt1","296571"
"ENSRNOG00000016795","Rabl6","362084"
"ENSRNOG00000028254",NA,NA
"ENSRNOG00000042556","Bmyc","311807"
"ENSRNOG00000017283","Kcnt1","60444"
"ENSRNOG00000017883","Camsap1","296580"
"ENSRNOG00000032635",NA,NA
"ENSRNOG00000057097",NA,NA
"ENSRNOG00000017983","Ubac1","362087"
"ENSRNOG00000018231","Nacc2","296583"
"ENSRNOG00000042501","Tmem250","499758"
"ENSRNOG00000018427","Lhx3","170671"
"ENSRNOG00000018574","Qsox2","681023"
"ENSRNOG00000018666","Gpsm1","246254"
"ENSRNOG00000018791","Dnlz","296587"
"ENSRNOG00000018845","Snapc4","362088"
"ENSRNOG00000018876","Entr1","306322"
"ENSRNOG00000026775","Pmpca","296588"
"ENSRNOG00000019039","Inpp5e","114089"
"ENSRNOG00000019122","Sec16a","100360302"
"ENSRNOG00000019322","Notch1","25496"
"ENSRNOG00000019388","Egfl7","245963"
"ENSRNOG00000004532","Dipk1b","362090"
"ENSRNOG00000030476","LOC103692519","103692519"
"ENSRNOG00000028021",NA,NA
"ENSRNOG00000046958",NA,NA
"ENSRNOG00000005059","Med22","499762"
"ENSRNOG00000049097",NA,NA
"ENSRNOG00000005247","Surf4","619346"
"ENSRNOG00000047187",NA,NA
"ENSRNOG00000055302",NA,NA
"ENSRNOG00000053371",NA,NA
"ENSRNOG00000005031","Surf6","303076"
"ENSRNOG00000049749",NA,NA
"ENSRNOG00000047737",NA,NA
"ENSRNOG00000060005",NA,NA
"ENSRNOG00000005167",NA,NA
"ENSRNOG00000027867","Rexo4","311826"
"ENSRNOG00000005840","Cacfd1","296599"
"ENSRNOG00000005900","Slc2a6","296600"
"ENSRNOG00000027742","Adamtsl2","311827"
"ENSRNOG00000006591",NA,NA
"ENSRNOG00000006916","Sardh","114123"
"ENSRNOG00000007422","Vav2","296603"
"ENSRNOG00000007681","Brd3","362092"
"ENSRNOG00000008212","Wdr5","362093"
"ENSRNOG00000009446","Rxra","25271"
"ENSRNOG00000008749","Col5a1","85490"
"ENSRNOG00000009862","Olfm1","93667"
"ENSRNOG00000046993",NA,NA
"ENSRNOG00000027193","Ppp1r26","685398"
"ENSRNOG00000010164","Mrps2","362094"
"ENSRNOG00000010219","Ralgds","29622"
"ENSRNOG00000010981","Gtf3c5","362095"
"ENSRNOG00000011470","Tsc1","60445"
"ENSRNOG00000012761","Ak8","311833"
"ENSRNOG00000054725","Gtf3c4","685539"
"ENSRNOG00000013040","Ddx31","311835"
"ENSRNOG00000039777","Ttf1","499766"
"ENSRNOG00000013491","Setx","362096"
"ENSRNOG00000013694","Ntng2","311836"
"ENSRNOG00000013933","Med27","296612"
"ENSRNOG00000014316","Rapgef1","63881"
"ENSRNOG00000043189","Trub2","366012"
"ENSRNOG00000026691","Coq4","366013"
"ENSRNOG00000014369","Slc27a4","311839"
"ENSRNOG00000026636","Urm1","311840"
"ENSRNOG00000026604","Cercam","296616"
"ENSRNOG00000014584","Odf2","29479"
"ENSRNOG00000015237",NA,NA
"ENSRNOG00000015396","Sptan1","64159"
"ENSRNOG00000015636","Dync2i2","296618"
"ENSRNOG00000025892","Pkn3","296619"
"ENSRNOG00000015791","Zdhhc12","366014"
"ENSRNOG00000025832","Zer1","311842"
"ENSRNOG00000015970","Tbc1d13","499768"
"ENSRNOG00000016033","Endog","362100"
"ENSRNOG00000025711","Spout1","499770"
"ENSRNOG00000016097","Kyat1","311844"
"ENSRNOG00000025296","Lrrc8a","311846"
"ENSRNOG00000016794","Phyhd1","296621"
"ENSRNOG00000016989","Dolk","311847"
"ENSRNOG00000025185","Nup188","366016"
"ENSRNOG00000017295","Sh3glb2","311848"
"ENSRNOG00000017513","Miga2","296623"
"ENSRNOG00000017663","Dolpp1","296624"
"ENSRNOG00000018145","Crat","311849"
"ENSRNOG00000018457","Ptpa","362102"
"ENSRNOG00000024846",NA,NA
"ENSRNOG00000022490","LOC100361008","100361008"
"ENSRNOG00000047244",NA,NA
"ENSRNOG00000009951","Aif1l","362107"
"ENSRNOG00000009371",NA,NA
"ENSRNOG00000024809","Ntmt1","362103"
"ENSRNOG00000024786","Asb6","296627"
"ENSRNOG00000006435","Tor1b","311854"
"ENSRNOG00000006894","Tor1a","266606"
"ENSRNOG00000007532","C3h9orf78","311855"
"ENSRNOG00000007710","Usp20","311856"
"ENSRNOG00000008258","Fnbp1","192348"
"ENSRNOG00000009735","Fibcd1","311861"
"ENSRNOG00000047356","Abl1","311860"
"ENSRNOG00000009245","Exosc2","366017"
"ENSRNOG00000009139","Fubp3","362106"
"ENSRNOG00000008837","Ass1","25698"
"ENSRNOG00000008761",NA,NA
"ENSRNOG00000023589","Gpr107","311857"
"ENSRNOG00000023393","Nup214","296634"
"ENSRNOG00000023352","Fam78a","499776"
"ENSRNOG00000010068","Plpp7","296635"
"ENSRNOG00000010217","Prrc2b","296637"
"ENSRNOG00000010477","Pomt1","84430"
"ENSRNOG00000011467","Uck1","311864"
"ENSRNOG00000022860","Swi5","499779"
"ENSRNOG00000011884","Golga2","64528"
"ENSRNOG00000033835","Dnm1","140694"
"ENSRNOG00000013442","Ciz1","296639"
"ENSRNOG00000022681","Bbln","499780"
"ENSRNOG00000014050","Ptges2","311865"
"ENSRNOG00000014338","Slc25a25","246771"
"ENSRNOG00000050204","Naif1","687739"
"ENSRNOG00000050834","Eeig1","687750"
"ENSRNOG00000049110",NA,NA
"ENSRNOG00000048870","St6galnac4","407764"
"ENSRNOG00000046984","St6galnac6","407765"
"ENSRNOG00000049056","Ak1","24183"
"ENSRNOG00000050190","Eng","497010"
"ENSRNOG00000050780","Fpgs","687266"
"ENSRNOG00000022586","Cdk9","362110"
"ENSRNOG00000054560","Sh2d3c","362111"
"ENSRNOG00000022514","Tor2a","362112"
