"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","symbol","entrez"
4698.19505629133,0.0413106180617708,0.0536308389999731,49.8800055990511,1.474668506841e-11,1.92621200363571e-07,"ENSRNOG00000005513","Srsf5",29667
2812.02081421086,-0.00507850340591484,0.0690587676492666,47.9932234760687,3.78794738344044e-11,2.47390843612495e-07,"ENSRNOG00000031092","Rock1",81762
4303.39839759584,0.00875876346745279,0.0702246924750624,35.3998083421423,2.05602924740076e-08,8.95195134318289e-05,"ENSRNOG00000043866",NA,NA
536.884703595761,0.692712837149353,0.47738039066236,34.4654263276199,3.28040726268994e-08,0.00010712169916314,"ENSRNOG00000008015","Fos",314322
1339.37003149583,-0.127191804010047,0.096710594748427,26.3348730820146,1.91185508034309e-06,0.00499453021188828,"ENSRNOG00000016071",NA,NA
8075.15003188578,0.0458032884957193,0.0480129766145859,23.8706378101634,6.55476098065432e-06,0.0142697146548845,"ENSRNOG00000005387","Rbm3",114488
102.218519996222,-0.482574617481235,0.235840361556653,22.7763977747713,1.13283866723289e-05,0.018526487678467,"ENSRNOG00000048270",NA,NA
312.860109976987,0.689858075249631,0.482961085128245,22.62190041991,1.22381772438574e-05,0.018526487678467,"ENSRNOG00000020009","Npas4",266734
15128.7036926353,0.0369338203759829,0.0584958797017931,22.5375835152417,1.27651499851633e-05,0.018526487678467,"ENSRNOG00000009033","Cntn2",25356
1268.49120423982,-0.0392540027615038,0.0828984008166012,21.3974123684898,2.25741257868759e-05,0.0294863231028173,"ENSRNOG00000045844","Impact",497198
1067.07417947814,0.0610451613721298,0.114610093613283,20.8439423136224,2.97711380135042e-05,0.0353518731574901,"ENSRNOG00000006645","Ryr3",170546
47.9013390111426,-2.21121374741236,0.467140985681599,20.6121054770144,3.34301376992921e-05,0.0363887048856795,"ENSRNOG00000046156",NA,NA
1888.3020232717,0.162710093621939,0.0877241709847027,20.4297436484692,3.66216184377418e-05,0.0367962753872141,"ENSRNOG00000018373","Tln2",315776
7932.18330004397,-0.101456081620789,0.0591807376359365,20.2151133802816,4.07702997010588e-05,0.0372159891598348,"ENSRNOG00000020763","Snrnp70",361574
5221.06233320059,-0.044787021376493,0.0601698304684522,20.1208582465667,4.27376999998103e-05,0.0372159891598348,"ENSRNOG00000000796","Ranbp2",294429
726.465738806505,-0.433944662820304,0.115699155189539,19.9819484473597,4.58115541940956e-05,0.0373994075552048,"ENSRNOG00000049104",NA,NA
3317.42086350216,-0.213175861950154,0.0798342756708214,19.7174048465775,5.22901561630364e-05,0.040177295282446,"ENSRNOG00000002835","Luc7l3",360602
956.751512289214,0.116169668934094,0.102359783425848,19.4619268976845,5.94150231350199e-05,0.0431155017883128,"ENSRNOG00000050500","Tob2",315159
302.568469527214,-0.359760021251622,0.192027167796479,19.2378872199517,6.6457785926099e-05,0.0456879789350897,"ENSRNOG00000059660",NA,NA
797.122189096713,0.047657383812815,0.0939539962097202,18.9487179979146,7.67959234761297e-05,0.0501554176222603,"ENSRNOG00000013257","Hecw2",316395
670.946112041218,0.302188346376549,0.106854814670248,18.8101572589576,8.23050057042666e-05,0.0511937135480539,"ENSRNOG00000049952","Gucd1",687713
692.33569270158,-0.165203529165591,0.114201014537023,18.4978511802681,9.62149708620313e-05,0.0571254522454479,"ENSRNOG00000004147","Abca8a",303638
39.4163239098813,0.962023527060909,0.431094303997659,18.0568527665758,0.00011995110179267,0.0663743345136907,"ENSRNOG00000050275",NA,NA
178.062300030621,0.203134965779296,0.190470871420797,17.863621636141,0.000132118565101513,0.0663743345136907,"ENSRNOG00000055580",NA,NA
338.439066872895,0.0500707294162955,0.140843488293753,17.9121284592064,0.000128952784838621,0.0663743345136907,"ENSRNOG00000010680","Med12l",690752
1037.58697977184,-0.337340493952052,0.0795420912681418,18.0051408761683,0.000123092994170869,0.0663743345136907,"ENSRNOG00000025937","Zfp26",367033
499.900385841148,-0.326571001219277,0.121060347536733,17.2796485667494,0.000176917986943059,0.085588990572231,"ENSRNOG00000002382",NA,NA
7567.6383334358,0.028665836637644,0.0576611984487923,17.0912088257915,0.000194397716404815,0.0894757318016029,"ENSRNOG00000012422","Tnik",294917
2939.56003056345,-0.117736745211113,0.0711588704366472,17.0479090880016,0.000198652290785981,0.0894757318016029,"ENSRNOG00000012929","Wsb1",303336
1896.59224062691,0.0135357298565886,0.0935456515231742,16.8341692189478,0.000221058185239157,0.0931439359868988,"ENSRNOG00000006378","Mga",499874
3126.45220850318,0.109644656868815,0.078539763619823,16.8805564211673,0.000215990051203558,0.0931439359868988,"ENSRNOG00000001130","Nos1",24598
10380.4675582649,-0.0444945518367893,0.0660257110475241,16.751279386023,0.000230412427219725,0.0940514726357513,"ENSRNOG00000033615",NA,NA
4941.09962111945,0.0426005370826189,0.0629016125149759,16.5846888990818,0.000250426661306319,0.0991234257570649,"ENSRNOG00000003679","Med13",303403
3510.00437140619,0.0462478403747667,0.0610610034468512,16.4300393582467,0.000270559186614166,0.103942473398654,"ENSRNOG00000010534","Ankrd50",294988
3845.21333500257,0.0362722763712711,0.072502587728548,16.2427333743085,0.000297122309583833,0.105643804585675,"ENSRNOG00000030351","Hmgb1l1",108348989
1522.3776127288,0.016892117545524,0.0791183386251449,16.1955864907775,0.000304209714097745,0.105643804585675,"ENSRNOG00000017864","Bdp1",294687
3280.24071349303,-0.0496907437098577,0.0574432692606004,16.1751170966128,0.000307339195701703,0.105643804585675,"ENSRNOG00000027761","Htatsf1",317612
23078.393557634,0.0397505282805048,0.0436317952162367,16.3031317624464,0.000288283588152636,0.105643804585675,"ENSRNOG00000030034","Sox11",84046
