"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006911","phagocytosis, engulfment","9/331","36/11041",0.25,8.33912386706949,7.75361518027166,8.08379769987405e-07,9.28088774223837e-05,9.28088774223837e-05,"Cd300a/Fcer1g/Nckap1l/Abca1/Abca7/C3/Itgb2/Bin2/Aif1",9
"GO:0002920","regulation of humoral immune response","7/331","20/11041",0.35,11.6747734138973,8.39976159870018,1.13134327359908e-06,0.000127181839673763,0.000127181839673763,"Il1b/Cfp/Ptprc/Cfh/C3/Ptpn6/Acod1",7
"GO:0050764","regulation of phagocytosis","12/331","72/11041",0.166666666666667,5.55941591137966,6.82331998958689,1.31847148050031e-06,0.000145193308342443,0.000145193308342443,"Hck/Tlr2/Cd300a/Fcer1g/Ptprc/Nckap1l/Slc11a1/C2/Abca7/C3/Itgb2/Dysf",12
"GO:0032103","positive regulation of response to external stimulus","32/331","425/11041",0.0752941176470588,2.5115478940821,5.58649894151496,1.46903709571824e-06,0.000157028806605153,0.000157028806605153,"Il1b/Tyrobp/Tlr2/Csf1r/Pla2g7/Alpk1/Cd300a/Cdh13/P2ry12/Ctss/Cx3cr1/Fcer1g/Cfp/Gna14/Rac2/Nckap1l/Pld4/Tifab/Spi1/Mdk/Dscam/Inava/Unc93b1/Tlr3/C3ar1/C3/Oasl/Irf3/Acod1/Dysf/Lgmn/Aif1",32
"GO:0043300","regulation of leukocyte degranulation","8/331","29/11041",0.275862068965517,9.20179185331805,7.77460689641878,1.48414920994492e-06,0.000157028806605153,0.000157028806605153,"Ptafr/Cd300a/Fcer1g/Stxbp2/Rac2/Nckap1l/Spi1/Itgb2",8
"GO:0001906","cell killing","13/331","88/11041",0.147727272727273,4.92766410326833,6.50298766046888,1.97586761130028e-06,0.000197440400566228,0.000197440400566228,"Tyrobp/Cx3cr1/Stxbp2/Ptprc/Nckap1l/Lyz2/Cfh/Inpp5d/Spi1/C3/Ncf1/Ptpn6/RT1-N2",13
"GO:0070661","leukocyte proliferation","20/331","201/11041",0.0995024875621891,3.31905427545054,5.83308223026397,2.50575274740161e-06,0.000241447175446055,0.000241447175446055,"Il1b/Itgal/Tyrobp/Csf1r/Cd300a/Shb/Ptprc/Rac2/Nckap1l/Gpnmb/Lgals3/Inpp5d/Slc11a1/Tnfrsf1b/Laptm5/Kit/Csf2rb/Itgb2/Ptpn6/Aif1",20
"GO:1902105","regulation of leukocyte differentiation","20/331","203/11041",0.0985221674876847,3.28635423332788,5.7799058199208,2.9213030681912e-06,0.000276550023788767,0.000276550023788767,"Dlk1/Tyrobp/Csf1r/Shb/Ptprc/Nckap1l/C1qc/Hcls1/Tesc/Inpp5d/Spi1/Mdk/Dusp10/Tmem176b/Nfam1/Dux4/Ptpn6/Lrrc17/Ror2/Tmem176a",20
"GO:0001817","regulation of cytokine production","34/331","488/11041",0.069672131147541,2.32401812688822,5.25919981051455,3.86767332524851e-06,0.000347832754384016,0.000347832754384016,"Il1b/Dlk1/Ptafr/Tyrobp/Tlr2/Csf1r/Cx3cr1/Fcer1g/Ptprc/Nckap1l/Gpnmb/Clec4a3/Irf8/Pld4/Inpp5d/Hdac7/Slc11a1/Tnfrsf1b/Jph4/Mdk/Laptm5/Inava/Abcd2/Unc93b1/Tlr3/Nfam1/Kit/C3ar1/C3/Ptpn6/Irf3/Acod1/Homer3/Aif1",34
"GO:0001816","cytokine production","34/331","493/11041",0.0689655172413793,2.30044796332951,5.19320152654908,4.83199551658882e-06,0.000407397621992395,0.000407397621992395,"Il1b/Dlk1/Ptafr/Tyrobp/Tlr2/Csf1r/Cx3cr1/Fcer1g/Ptprc/Nckap1l/Gpnmb/Clec4a3/Irf8/Pld4/Inpp5d/Hdac7/Slc11a1/Tnfrsf1b/Jph4/Mdk/Laptm5/Inava/Abcd2/Unc93b1/Tlr3/Nfam1/Kit/C3ar1/C3/Ptpn6/Irf3/Acod1/Homer3/Aif1",34
