"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097746","blood vessel diameter maintenance","31/893","121/11041",0.256198347107438,3.1676214450316,7.11188690614199,4.69673432356298e-09,8.17534787417607e-07,8.17534787417607e-07,"Npr3/P2ry1/Dusp5/Htr1b/Cps1/Mmp2/Agtr1a/Adra2a/Gucy1a1/Egfr/Htr1a/Arhgap42/Add3/Prkcq/Nts/Ednrb/Nppc/Itga9/Kcnma1/Rap1gds1/Gja5/Ptger3/Grip2/Npy1r/Asic2/Adcyap1/Cx3cl1/Atp1a2/Chrm3/Hrh2/Plekha7",31
"GO:0007416","synapse assembly","52/893","275/11041",0.189090909090909,2.3379089891072,6.66477922506292,4.98671684718543e-09,8.40885128356644e-07,8.40885128356644e-07,"Nptxr/Mapt/Icam5/Nrg2/Grin1/Srgap2/Npas4/Amigo2/Il1rapl1/Epha7/Slc12a5/Lrfn5/Snca/Elfn1/Zdhhc2/Ephb3/Mef2c/Gabrg3/Cdh9/Cbln4/Ptk2b/Prickle1/Akap5/Nrxn1/Ntrk2/Gabrb2/Psd/Pdlim5/Slitrk3/Farp1/Bdnf/Cntn5/Gabra1/Lin7a/Gap43/Gabra5/Il1rap/Asic2/Lrrn3/C1ql3/Grm6/Prkca/Shank3/Gabra4/Grid2/Lrrtm1/Lsamp/Drd2/Adgrl3/Gabrg1/Sdk1/Fam107a",52
"GO:0007269","neurotransmitter secretion","37/893","164/11041",0.225609756097561,2.78942588698003,6.84858913409928,6.87717691644509e-09,1.0914484306217e-06,1.0914484306217e-06,"P2ry1/Unc13c/Htr1b/Syt1/Npy/Grm2/Snca/Snap91/Rims1/Syt9/Mef2c/Ptprn2/Syt7/Apba1/P2rx2/Syt13/Rims3/Doc2a/Nrxn1/Camk2a/Mctp1/Grm8/Syt5/Ntrk2/Prkcb/Cspg5/Syngr3/Nr4a1/Rab15/Lin7a/Kcnc4/Npy1r/Trim9/Syt12/Prkca/Kcnh1/Cadps2",37
"GO:0046942","carboxylic acid transport","46/893","233/11041",0.197424892703863,2.4409498772042,6.59438355365682,9.69621881334817e-09,1.49487990619505e-06,1.49487990619505e-06,"Nherf1/Slco3a1/Slco4a1/Epm2a/Grin2b/Grik1/Htr1b/Homer2/Mfsd12/Slc22a3/Sstr4/Cck/Slc1a3/Grm2/Snca/Npy5r/Slc16a7/Trpc4/Ntsr1/Slc7a2/Slco1c1/Slc1a6/Apba1/Rgs4/Slc6a1/Htr1a/Slc6a15/Fabp7/Slc25a18/Slc6a11/Slc6a7/Fabp3/Ntrk2/Bdnf/Slc26a1/Slc1a4/Abat/Gfap/Slc6a17/Acsl4/Grm7/Slc7a11/Irs2/Drd2/Slc38a3/Hrh2",46
"GO:1904064","positive regulation of cation transmembrane transport","26/893","94/11041",0.276595744680851,3.41981368087489,6.98905297620947,1.47589092768016e-08,2.04202755019542e-06,2.04202755019542e-06,"Hcn1/Kcnk3/Fxyd7/Grin1/Cacna1d/Snca/Kcnip2/Agtr1a/Trpc3/Atp1b1/Kcne5/Ntsr1/Stac2/Cacna2d1/Akap5/Akap7/Cemip/Thy1/Scn1b/Asic2/Rgs7/Grm6/Dpp6/Cnksr3/Cx3cl1/Ehd3",26
"GO:0009190","cyclic nucleotide biosynthetic process","11/893","18/11041",0.611111111111111,7.55574219236033,8.25711345782728,1.7110344442276e-08,2.2518882587932e-06,2.2518882587932e-06,"Adcy5/Gucy1b1/Ntsr1/Gucy1a1/Adcy2/Ednrb/Nppc/Adcy1/Adcy9/Ptger3/Adcyap1",11
"GO:0051588","regulation of neurotransmitter transport","28/893","108/11041",0.259259259259259,3.20546638463772,6.83223322928615,1.97194874212562e-08,2.48180507642509e-06,2.48180507642509e-06,"Rab3b/P2ry1/Unc13c/Htr1b/Syt1/Npy/Grm2/Snca/Rims1/Mef2c/P2rx2/Syt13/Rims3/Camk2a/Mctp1/Grm8/Syt5/Ntrk2/Prkcb/Cspg5/Syngr3/Gfap/Kcnc4/Npy1r/Syt12/Prkca/Kcnh1/Drd2",28
"GO:0007156","homophilic cell-cell adhesion","24/893","83/11041",0.289156626506024,3.5751156923326,6.98538231559204,2.04712224650512e-08,2.51051628230491e-06,2.51051628230491e-06,"Icam5/Cdh18/Amigo2/Robo2/Nrcam/Cdh8/Cdhr1/Cdh11/Tenm3/Ret/Pcdh9/Pcdh20/Pcdh10/Cdh9/Cdh12/Ptprt/Pcdha4/Igsf21/Pcdh1/Cdh7/Cdh10/Cntn4/Cdh6/Sdk1",24
"GO:0031589","cell-substrate adhesion","54/893","303/11041",0.178217821782178,2.20347477076935,6.30110391129562,2.15954018951751e-08,2.58872319139705e-06,2.58872319139705e-06,"Sema3e/Enpp2/Ajap1/Fras1/Srgap2/Vwa2/Meltf/Pcsk5/Npy/Cdh11/Ptprj/Col26a1/Fbln2/Spock3/Limch1/Dusp3/Spock2/Ephb3/Nid2/Parvb/Grem1/Col5a3/Lama5/Has2/Itga3/Smoc1/Nid1/Dmtn/Itgb5/Tyro3/Rell2/Wnt4/Ptk2b/Col8a1/Itgav/Emp2/Itga9/Tnxb/Ntn4/Ptn/Ndnf/Col3a1/Cspg5/Spry4/Col1a1/Adamts12/Gas6/Thy1/Nedd9/Bcan/Megf11/Angpt2/Fam107a/Tecta",54
"GO:0033555","multicellular organismal response to stress","26/893","98/11041",0.26530612244898,3.28022944900245,6.72579189225448,3.78531371309913e-08,4.25532349914227e-06,4.25532349914227e-06,"Nr4a2/Hcn1/Grin2b/Grik1/Cck/Npas2/Penk/Lypd1/Ret/Vwa1/Cckbr/Adra2a/Ntsr1/Mef2c/P2rx2/Htr1a/Ednrb/Adam11/Prkar1b/Bdnf/Gabra5/Grm7/Shank3/Adcyap1/Asic4/Atp1a2",26
