"gene","n_path","baseMean","R1_T0","R1_T5","R1_T15","R2_T0","R2_T5","R2_T15","R3_T0","R3_T5","R3_T15","mean_0","mean_5","mean_15","L2FC_5v0","padj_5v0","L2FC_15v0","padj_15v0","L2FC_15v5","padj_15v5","pathways"
"Cxcr4",3,431,466.1,570.8,459.3,368.6,400.9,353.8,390.6,430.3,438.3,408.4,467.3,417.1,0.187,0.913,0.03,1,-0.158,1,"migration, projGuid, axonGuid"
"Reln",3,2093,2284.7,2203.5,1792.1,1571.2,1820.9,1702.3,1596.9,3376.7,2491.4,1817.6,2467,1995.2,0.396,0.919,0.111,1,-0.286,1,"migration, projGuid, axonGuid"
"Gli3",3,744,794.5,790.6,823.5,727,899.9,749,564.9,622.2,722.1,695.5,770.9,764.8,0.149,0.959,0.15,1,0.001,1,"CNSdiff, projGuid, axonGuid"
"Neo1",3,10313,10096,9860.4,9591.5,10139.7,10171.5,9548.9,10172.9,12123.2,11112.3,10136.2,10718.4,10084.2,0.074,0.978,-0.013,1,-0.086,1,"migration, projGuid, axonGuid"
"Lhx6",3,188,198.7,215.1,198.7,155.8,192,179,156,185.6,207.5,170.2,197.6,195.1,0.22,0.999,0.204,1,-0.017,1,"CNSdiff, migration, CNSdev"
"L1cam",3,18832,18689.6,18049.7,16527.1,18719.4,19355.8,16984.8,17884.7,22504.1,20771.4,18431.2,19969.9,18094.4,0.106,0.999,-0.037,1,-0.143,1,"CNSdiff, projGuid, CNSdev"
"Crkl",3,5785,5597.9,5937,5673.8,5441.9,5882.7,5722.8,6094.3,5922.5,5788.5,5711.4,5914.1,5728.4,0.052,0.999,0.005,1,-0.046,1,"CNSdiff, migration, CNSdev"
"Dcx",3,97276,95640.5,95459.9,90785.5,93253.3,93713.6,94524,100576.5,110856.8,100676.4,96490.1,100010.1,95328.6,0.049,0.999,-0.018,1,-0.067,1,"CNSdiff, migration, CNSdev"
"Bmpr2",2,3579,3293,3424.5,2915.3,3494.3,3999,3635.4,3148,4533.8,3768.8,3311.7,3985.8,3439.8,0.257,0.112,0.044,1,-0.213,0.696,"projGuid, axonGuid"
"Slit1",2,2526,2428.4,2623.8,2142.1,2333.2,2695.5,2339.7,2265.1,3108,2799.3,2342.2,2809.1,2427.1,0.256,0.127,0.042,1,-0.214,0.711,"projGuid, axonGuid"
"Erbb4",2,525,495.6,548.9,424.7,451.3,566.8,443.7,426.5,763.8,600.1,457.8,626.5,489.5,0.432,0.141,0.076,1,-0.356,0.805,"CNSdiff, migration"
"Map2",2,69209,65745.2,68857.1,60708.5,64789.3,68334.9,68282,66351.8,84553.6,75262.4,65628.8,73915.2,68084.3,0.164,0.21,0.046,1,-0.117,1,"CNSdiff, CNSdev"
"Megf8",2,4702,3891.4,3853,3707.6,5342.8,6084.3,5484.2,3882.7,5158.6,4910.5,4372.3,5032,4700.8,0.192,0.297,0.1,1,-0.092,1,"projGuid, axonGuid"
"Ark2c",2,2059,1938.3,2093.8,1788.1,1825.2,2113.5,1908.5,2145.8,2453.8,2259.6,1969.8,2220.4,1985.4,0.172,0.313,0.009,1,-0.164,0.846,"projGuid, axonGuid"
"Klf7",2,3886,3780.2,3928.6,3342.6,3614,4054.2,3604.6,3864.7,4580.4,4203.1,3753,4187.7,3716.8,0.155,0.348,-0.02,1,-0.174,0.631,"projGuid, axonGuid"
"Taok1",2,2295,2157.9,2269.7,2027.5,2109,2321.3,2280.9,2309.5,2838.9,2337.1,2192.2,2476.6,2215.2,0.171,0.387,0.014,1,-0.157,1,"CNSdiff, CNSdev"
"Spg11",2,1305,1199.2,1228.5,1101,1258.3,1413.9,1317.8,1124,1606.8,1498.1,1193.8,1416.4,1305.6,0.236,0.394,0.117,1,-0.119,1,"CNSdiff, CNSdev"
"Ephb2",2,7191,7035.5,7163,6500.6,6664.9,7159.3,6820.1,6998.2,8560.5,7818.2,6899.5,7627.6,7046.3,0.139,0.394,0.025,1,-0.114,1,"projGuid, axonGuid"
"Nfasc",2,9830,9406.4,9874.6,8529,8651.9,10656.4,9653.9,8532.6,12399.2,10763.9,8863.6,10976.7,9648.9,0.299,0.404,0.113,1,-0.186,1,"projGuid, axonGuid"
"Mdga1",2,6167,6114.6,6167,5454.1,5719.4,6382.7,5999.3,5954.4,7077.2,6637.9,5929.5,6542.3,6030.5,0.139,0.46,0.02,1,-0.119,1,"CNSdiff, migration"
"Ank3",2,6992,6469.3,6723,5658.5,5217.2,7351.9,6582.2,5421.3,11037.2,8466.3,5702.6,8370.7,6902.3,0.513,0.476,0.245,1,-0.268,1,"projGuid, axonGuid"
"Efnb1",2,5225,5092.8,5441.7,5237.3,5119.9,5539.1,5475.4,4850.1,5230.9,5041.1,5021,5403.9,5251.3,0.106,0.478,0.064,1,-0.042,1,"projGuid, axonGuid"
"Tenm4",2,3136,2967.5,3145.9,2339.7,2334,3494.3,3019.2,2124.2,5173.9,3627.6,2475.2,3938,2995.5,0.628,0.527,0.241,1,-0.386,1,"projGuid, axonGuid"
"Dscaml1",2,923,918.8,961,814.1,862.3,982.5,889.2,811.3,1060.7,1006.6,864.1,1001.4,903.3,0.21,0.567,0.06,1,-0.15,1,"projGuid, axonGuid"
"Trio",2,9364,8956.3,9154.4,7808.4,8111.4,10178.9,9068.9,8124.6,12440,10433.4,8397.4,10591.1,9103.6,0.319,0.59,0.102,1,-0.217,1,"projGuid, axonGuid"
"Ptprj",2,1573,1534.5,1690.4,1462.5,1474.2,1603.3,1394,1598.3,1794.1,1608.7,1535.7,1695.9,1488.4,0.143,0.592,-0.047,1,-0.189,0.696,"projGuid, axonGuid"
"Rtn4r",2,1919,1794.3,2036.7,1883.8,1797,1893.8,1965.5,1824.4,2023.9,2047.1,1805.2,1984.8,1965.5,0.137,0.606,0.122,1,-0.014,1,"projGuid, axonGuid"
"Sema5a",2,845,885,984.4,798.5,860.3,895.5,808.8,648.6,887.8,837.4,798,922.6,814.9,0.216,0.635,0.039,1,-0.177,1,"projGuid, axonGuid"
"Sptbn4",2,2896,2779,2782.7,2561.1,2740.9,2898.8,2687.9,2815.4,3569,3231.6,2778.4,3083.5,2826.9,0.141,0.639,0.016,1,-0.124,1,"CNSdiff, CNSdev"
"Zswim6",2,2099,2090.2,2203.4,1899,2074.1,2188.5,1879.9,1972.2,2396.3,2186.6,2045.5,2262.7,1988.5,0.143,0.643,-0.044,1,-0.188,0.785,"CNSdiff, migration"
"Szt2",2,1492,1527.9,1428.1,1275.4,1412.3,1576.8,1294.2,1324,1956.6,1631.3,1421.4,1653.8,1400.3,0.203,0.654,-0.035,1,-0.239,1,"CNSdiff, CNSdev"
"Slit3",2,238,159.4,220.1,202.8,217.2,250.3,220.2,273.7,335.5,260.7,216.8,268.6,227.9,0.314,0.689,0.09,1,-0.224,1,"projGuid, axonGuid"
"Lama5",2,168,143.8,179.6,141.8,154,186.5,174.1,115.2,184.5,233.8,137.6,183.6,183.3,0.413,0.721,0.4,1,-0.014,1,"projGuid, axonGuid"
"Mdga2",2,923,823.1,857.8,841.6,933.1,993.5,944.5,866.5,1109.4,938.5,874.2,986.9,908.2,0.171,0.73,0.054,1,-0.116,1,"CNSdiff, migration"
"Diaph1",2,2649,2592.3,2762.7,2537.3,2610.6,2661.2,2522.7,2517.7,2920.9,2719.2,2573.5,2781.6,2593.1,0.111,0.754,0.01,1,-0.101,1,"projGuid, axonGuid"
"Met",2,842,887.9,873.2,871.6,767.4,895.9,764.7,766.8,948.4,804.3,807.4,905.8,813.5,0.169,0.785,0.012,1,-0.157,1,"CNSdiff, migration"
"Vangl2",2,4131,4128.1,4285.5,3993.1,3871.6,4269.8,3958.7,4120.3,4321.7,4233.4,4040,4292.3,4061.7,0.088,0.818,0.008,1,-0.08,1,"projGuid, axonGuid"
"Prkca",2,1200,1112.1,1103.2,1049.3,1067.2,1190.9,1080.1,1284.8,1537.7,1375.8,1154.7,1277.3,1168.4,0.137,0.828,0.012,1,-0.126,1,"CNSdiff, CNSdev"
"Enah",2,3795,3908.9,3869.7,3491.1,3396.4,3817.9,3640.1,3816.3,4243,3972.7,3707.2,3976.9,3701.3,0.101,0.833,-0.002,1,-0.103,1,"projGuid, axonGuid"
"Cyfip2",2,15077,14949.8,15063,13842.2,14759.9,15351.1,15276.8,14284.8,16322.2,15847.1,14664.8,15578.8,14988.7,0.086,0.833,0.029,1,-0.057,1,"projGuid, axonGuid"
"Zeb2",2,8960,9332.7,9427.7,8346.3,8731.3,9342.5,8661.8,8688.5,9469.8,8642.2,8917.5,9413.3,8550.1,0.079,0.833,-0.06,1,-0.139,0.544,"CNSdiff, CNSdev"
"Cdh4",2,3793,3456.5,3441.8,3325.7,3674.2,4043.6,3930.9,3805.9,4230.9,4226,3645.6,3905.4,3827.5,0.095,0.838,0.065,1,-0.03,1,"projGuid, axonGuid"
"Sema4c",2,3855,3732.2,3923.2,3634,3688,3974.8,3758,3882.4,4082.3,4016.1,3767.5,3993.4,3802.7,0.084,0.865,0.013,1,-0.071,1,"projGuid, axonGuid"
"Tenm3",2,6792,7325.2,6939.8,6349.6,5701.9,6738.5,6335.1,5768.9,8793.4,7176.4,6265.3,7490.6,6620.4,0.253,0.883,0.079,1,-0.174,1,"projGuid, axonGuid"
"Kalrn",2,5901,5552.3,5570.6,4959.2,5415.7,5990.5,5711.9,5180.1,7934,6792.8,5382.7,6498.4,5821.3,0.25,0.891,0.094,1,-0.155,1,"projGuid, axonGuid"
"Ctnnb1",2,14375,14308,14959,14337.8,14608.2,14884.7,14465.4,13374.1,14347.1,14092.2,14096.8,14730.2,14298.5,0.064,0.891,0.021,1,-0.043,1,"CNSdiff, migration"
"Tenm2",2,9186,9703.9,9203.7,7980.1,7876.4,9321,7561.5,7878.2,13095.1,10053,8486.2,10539.9,8531.5,0.292,0.895,-0.009,1,-0.301,1,"projGuid, axonGuid"
"Chrnb2",2,2028,1935.6,1967.3,1842.4,1932.3,2123.1,1962.2,2072,2270.3,2143.3,1980,2120.2,1982.6,0.097,0.905,0,1,-0.097,1,"CNSdiff, CNSdev"
