"gene","R1_T0","R1_T5","R1_T15","R2_T0","R2_T5","R2_T15","R3_T0","R3_T5","R3_T15"
"Sptbn4",2779,2782.7,2561.1,2740.9,2898.8,2687.9,2815.4,3569,3231.6
"Ephb2",7035.5,7163,6500.6,6664.9,7159.3,6820.1,6998.2,8560.5,7818.2
"Mdga1",6114.6,6167,5454.1,5719.4,6382.7,5999.3,5954.4,7077.2,6637.9
"Prkca",1112.1,1103.2,1049.3,1067.2,1190.9,1080.1,1284.8,1537.7,1375.8
"Rtn4r",1794.3,2036.7,1883.8,1797,1893.8,1965.5,1824.4,2023.9,2047.1
"Diaph1",2592.3,2762.7,2537.3,2610.6,2661.2,2522.7,2517.7,2920.9,2719.2
"Dscam",1748.4,1741.6,1557.9,1627,1693.3,1610.9,1549.3,1883.9,1706.6
"Efnb1",5092.8,5441.7,5237.3,5119.9,5539.1,5475.4,4850.1,5230.9,5041.1
"Enah",3908.9,3869.7,3491.1,3396.4,3817.9,3640.1,3816.3,4243,3972.7
"Ptch1",740.5,690.7,686.4,704.3,800.6,725.6,665.4,769,622.6
"Chrnb2",1935.6,1967.3,1842.4,1932.3,2123.1,1962.2,2072,2270.3,2143.3
"Atp7a",846.3,860,816,772.4,826.1,679.4,839.8,939.9,818.3
"Cdh4",3456.5,3441.8,3325.7,3674.2,4043.6,3930.9,3805.9,4230.9,4226
"Epha7",1503.9,1628.3,1544.7,1517.6,1519.5,1466.7,1587.5,1765.6,1491
"Vangl2",4128.1,4285.5,3993.1,3871.6,4269.8,3958.7,4120.3,4321.7,4233.4
"Cyfip2",14949.8,15063,13842.2,14759.9,15351.1,15276.8,14284.8,16322.2,15847.1
"Sema4c",3732.2,3923.2,3634,3688,3974.8,3758,3882.4,4082.3,4016.1
"Ncam1",41113,39444,36962,37178.3,38600.6,37500.5,39190.4,46927.8,44036.7
"Lingo1",5952.3,6203.1,5929.5,6044.2,6323.9,6025,5720.2,6208.3,6569
"Sema6a",1339.9,1374.7,1247.3,1253.7,1370.4,1214.1,1283.6,1347.6,1394.9
"Zeb2",9332.7,9427.7,8346.3,8731.3,9342.5,8661.8,8688.5,9469.8,8642.2
"Psen1",1969.5,1972.5,1933.4,1915.1,2020.5,1955.9,2016.6,2217.1,1978.9
"Nectin1",4536.3,4721.1,4234.5,4346.7,4528.3,4315.2,4611.9,4922.6,4631.4
"Epha5",14454.6,14675.1,13761.2,13636,13771.2,13824,15155.2,16897.6,15186
"Ctnnb1",14308,14959,14337.8,14608.2,14884.7,14465.4,13374.1,14347.1,14092.2
"Tbr1",4820.3,4838,4564.1,4900.2,4941.7,4816.8,4743.7,5297.2,5041.4
"Nell2",31942.4,32067.6,30807.7,30145.8,31894,30951.9,32352.5,34090.7,32996
