Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"354"	"ZFP37"	"431.3"	"ARCHS4 Coexpression,214;Enrichr Queries,276;GTEx Coexpression,804"	"ROBO2,EPHA5,NRP1,EPHA4,FZD3,SEMA6A,ANK3,CELSR3,DCLK1,ROBO1,ZEB2,NFIB,MAP2,SLIT1,DCX,NCAM1"
"gene_set_query"	"355"	"TET2"	"432.0"	"ARCHS4 Coexpression,310;GTEx Coexpression,554"	"SZT2,ZEB2,PTPRJ,ATP7A,SPG11"
"gene_set_query"	"356"	"ZNF407"	"437.0"	"ARCHS4 Coexpression,173;Enrichr Queries,219;GTEx Coexpression,919"	"ROBO2,SEMA5A,SZT2,TRIO,MYCBP2,PTPRJ,PRKCA,ANK3,GLI3,ROBO1,ZEB2,ZMIZ1,TAOK1,SPG11"
"gene_set_query"	"357"	"LHX3"	"437.7"	"ARCHS4 Coexpression,204;Enrichr Queries,620;GTEx Coexpression,489"	"ROBO2,CHRNB2,SPTBN4,CDH4,TENM4,ZMIZ1,LHX6,TBR1,PRKCA,MDGA1,CELSR3"
"gene_set_query"	"358"	"ZNF334"	"440.0"	"ARCHS4 Coexpression,218;Enrichr Queries,344;GTEx Coexpression,758"	"NTRK2,EPHA7,FZD3,SEMA6A,CXCR4,ANK3,CELSR3,DCLK1,ROBO1,NELL2,ENAH,RELN,NFIB,MAP2,SLIT2"
"gene_set_query"	"359"	"ZFP28"	"440.0"	"ARCHS4 Coexpression,88;Enrichr Queries,348;GTEx Coexpression,884"	"ROBO2,NRP1,FZD3,BMPR2,CXCR4,ANK3,L1CAM,KALRN,DCLK1,KLF7,ZEB2,NFASC,NFIB,CHL1,MAP2,DCX,NCAM1,SLIT2"
"gene_set_query"	"360"	"ZNF503"	"440.7"	"ARCHS4 Coexpression,641;Enrichr Queries,459;GTEx Coexpression,222"	"NRP1,EPHA4,NRP2,EPHA7,CXCR4,HSPG2,NELL2,ZMIZ1,SLIT2,EPHB2,MEGF8,MYH10,EPHB3"
"gene_set_query"	"361"	"ELF2"	"440.7"	"ARCHS4 Coexpression,599;Enrichr Queries,594;GTEx Coexpression,129"	"CHRNB2,LINGO1,SZT2,TRIO,BMPR2,MYCBP2,CDH4,ZEB2,MAP2,ZMIZ1,NFIB,RAC1,MEGF8"
"gene_set_query"	"362"	"RARG"	"441.5"	"Literature ChIP-seq,101;ARCHS4 Coexpression,468;Enrichr Queries,818;GTEx Coexpression,379"	"NELL2,NRP1,LAMA5,VANGL2,LRP1,NFIB,PLXNA1,EPHB2,HSPG2,EPHB3,NECTIN1"
"gene_set_query"	"363"	"FERD3L"	"443.0"	"ARCHS4 Coexpression,162;Enrichr Queries,515;GTEx Coexpression,652"	"ROBO2,CHRNB2,FZD3,TENM4,DLX5,CXCR4,TBR1,RELN,MAP2,PLXNA1,NCAM1,SLIT2,EPHB2"
