"gene_id","n_pathways","pathways"
"Pcnt",1,"migration"
"Pex7",1,"migration"
"Plxnb2",1,"migration"
"Pomgnt2",1,"migration"
"Ptger3",1,"CNSdiff"
"Ptprz1",1,"migration"
"Rorb",1,"CNSdiff"
"Satb2",1,"migration"
"Scrt1",1,"migration"
"Sema4a",1,"projGuid"
"Sfrp2",1,"CNSdiff"
"Shank3",1,"CNSdiff"
"Sin3a",1,"CNSdiff"
"Sox5",1,"CNSdiff"
"Srgap2",1,"migration"
"Stat3",1,"migration"
"Tbc1d24",1,"migration"
"Tgif2",1,"CNSdiff"
"Top2a",1,"CNSdiff"
"Trim46",1,"migration"
"Ulk4",1,"migration"
"Unk",1,"migration"
"Usp9x",1,"migration"
"Wdr62",1,"migration"
"Zfp609",1,"migration"
