"ensembl_id","symbol","gene_name","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"ENSRNOG00000027260","Adprh","ADP-ribosylarginine hydrolase","25371",1799.31330881515,-0.0268434306820134,0.0675895877841735,-0.397153342135029,0.69125438628616,0.999733014012761,"ns"
"ENSRNOG00000058752","Popdc2","popeye domain cAMP effector 2","360718",37.49425895558,-0.312531088651238,0.393619438886327,-0.79399302416437,0.427199492414923,0.999733014012761,"ns"
"ENSRNOG00000038951",NA,NA,NA,466.452182414561,-0.043098763731717,0.114785916086696,-0.375470834759598,0.707310332971277,0.999733014012761,"ns"
"ENSRNOG00000002833","Gsk3b","glycogen synthase kinase 3 beta","84027",4468.00757606799,0.0171167324255073,0.0556445992743546,0.307608153328836,0.758380515396259,0.999733014012761,"ns"
"ENSRNOG00000002797","Gpr156","G protein-coupled receptor 156","260430",106.186737661407,-0.222288591340723,0.23023056912364,-0.965504242928524,0.334292311853009,0.999733014012761,"ns"
"ENSRNOG00000027151","Lrrc58","leucine rich repeat containing 58","303919",1203.46096161965,-0.0834586001330406,0.0739940238859727,-1.127910008809,0.259357926476527,0.999733014012761,"ns"
"ENSRNOG00000002721","Ndufb4","NADH:ubiquinone oxidoreductase subunit B4","288088",1763.78692777462,0.0231342049391611,0.0664615788728678,0.34808389044464,0.727777182294818,0.999733014012761,"ns"
"ENSRNOG00000026085","Rabl3","RAB, member of RAS oncogene family-like 3","360720",261.882077202357,-0.102955545348218,0.149439216642962,-0.68894596519599,0.490857272142098,0.999733014012761,"ns"
"ENSRNOG00000026008","Gtf2e1","general transcription factor IIE subunit 1","303918",1763.92341487502,-0.0400613504832877,0.0677242706515966,-0.591536093306651,0.554161278934954,0.999733014012761,"ns"
"ENSRNOG00000002496","Stxbp5l","syntaxin binding protein 5L","288080",401.56093318867,0.107098708253321,0.137080199586083,0.781285032971265,0.43463487099032,0.999733014012761,"ns"
"ENSRNOG00000002471","Polq","DNA polymerase theta","288079",168.512722004324,-0.171376608724075,0.196291126293344,-0.873073643013104,0.382622939007544,0.999733014012761,"ns"
"ENSRNOG00000030314","Golgb1","golgin B1","192243",1568.71763406,0.180098406226373,0.161416340824621,1.11573837757882,0.264534137974956,0.999733014012761,"ns"
"ENSRNOG00000038868","Iqcb1","IQ motif containing B1","303915",995.911436423102,-0.036173133343096,0.0822752124161038,-0.439660163502851,0.660183259019153,0.999733014012761,"ns"
"ENSRNOG00000031653","Mix23","mitochondrial matrix import factor 23","288065",319.567721780937,-0.0196731486592867,0.135104209035998,-0.145614624441825,0.884225622411281,0.999733014012761,"ns"
"ENSRNOG00000002255","Fam162a","family with sequence similarity 162, member A","360721",979.920346608029,-0.0207321257242623,0.0860547214948722,-0.24091793412518,0.809618722047217,0.999733014012761,"ns"
"ENSRNOG00000002253","Wdr5b","WD repeat domain 5B","303907",228.152330387803,-0.259066644449111,0.165108502016924,-1.56906907448386,0.116631844809646,0.999733014012761,"ns"
"ENSRNOG00000051711","Kpna1","karyopherin subunit alpha 1","288064",5003.2267820563,0.0104228434071023,0.0505809976664501,0.206062432295906,0.836742143668037,0.999733014012761,"ns"
"ENSRNOG00000023463","Parp9","poly (ADP-ribose) polymerase family, member 9","303905",19.3251011542266,0.192558887427106,0.523365997587765,0.367923954392576,0.712929938141165,0.999733014012761,"ns"
"ENSRNOG00000023400","Dtx3l","deltex E3 ubiquitin ligase 3L","498089",13.3992140157727,-0.358214536778878,0.64389586440438,-0.556323710993602,0.577989580770282,0.999733014012761,"ns"
"ENSRNOG00000023334","Parp14","poly (ADP-ribose) polymerase family, member 14","303903",22.7200142294575,0.322204694748502,0.521965914971708,0.617290680304224,0.537043012903799,0.999733014012761,"ns"
"ENSRNOG00000002241","Hspbap1","HSPB1 associated protein 1","171460",518.029495280157,-0.0202228627425635,0.123561722792855,-0.16366607947403,0.869994022069303,0.999733014012761,"ns"
"ENSRNOG00000002240","Slc49a4","solute carrier family 49 member 4","303902",3613.66452902583,0.0197352107080944,0.0554763273289449,0.355741118028149,0.722034448972686,0.999733014012761,"ns"
"ENSRNOG00000002238","Sema5b","semaphorin 5B","303901",701.853158846779,-0.0434043134081579,0.111268869347716,-0.390084968622438,0.696473717465138,0.999733014012761,"ns"
"ENSRNOG00000032327","Pdia5","protein disulfide isomerase family A, member 5","360722",52.5266983383626,-0.0928142563774892,0.320219578180451,-0.289845664355932,0.771934311509351,0.999733014012761,"ns"
"ENSRNOG00000043069","Sec22a","SEC22 homolog A, vesicle trafficking protein","117513",369.643101533707,-0.0219701640037294,0.129773893922076,-0.169295713796811,0.865564047216626,0.999733014012761,"ns"
"ENSRNOG00000002229","Adcy5","adenylate cyclase 5","64532",2195.27061323342,0.0806032943451056,0.0607253592589039,1.32734158066405,0.184395715031268,0.999733014012761,"ns"
"ENSRNOG00000002215","Mylk","myosin light chain kinase","288057",233.885321168141,0.223497829713872,0.17427940083662,1.28241105168471,0.199698489353141,0.999733014012761,"ns"
"ENSRNOG00000021469","Ccdc14","coiled-coil domain containing 14","288054",223.215187490465,-0.106462950946031,0.160471160313284,-0.663439777827902,0.507048937076293,0.999733014012761,"ns"
"ENSRNOG00000001706","Kalrn","kalirin, RhoGEF kinase","84009",5391.49551958765,0.0968072342085263,0.127993883087149,0.756342661645882,0.449443776126878,0.999733014012761,"ns"
"ENSRNOG00000001793","Heg1","heart development protein with EGF-like domains 1","689710",1552.57691223617,-0.022176582717365,0.0787159130121766,-0.281729346313172,0.778151050467339,0.999733014012761,"ns"
"ENSRNOG00000001792","Slc12a8","solute carrier family 12, member 8","266733",14.9490693531383,-0.172780082221243,0.607713840068509,-0.284311580269037,0.776171612401874,0.999733014012761,"ns"
"ENSRNOG00000001789","Zfp148","zinc finger protein 148","58820",3164.66727767538,-0.0282359419899969,0.057672698570073,-0.489589401745956,0.624424477540029,0.999733014012761,"ns"
"ENSRNOG00000001786","Snx4","sorting nexin 4","360725",2772.60067542227,-0.0393539476163111,0.0575667966393026,-0.683622329428749,0.49421368077155,0.999733014012761,"ns"
"ENSRNOG00000001782","Osbpl11","oxysterol binding protein-like 11","303888",2235.22512321163,-0.0100450305111581,0.0610931440848857,-0.164421567454461,0.869399286248459,0.999733014012761,"ns"
"ENSRNOG00000001781","Lmln","leishmanolysin like peptidase","363795",571.815658879387,-0.0909355656776586,0.105557770968807,-0.861476751953492,0.388975519928492,0.999733014012761,"ns"
"ENSRNOG00000001774","Lrch3","leucine rich repeats and calponin homology domain containing 3","303883",780.144773431399,0.0421080696245594,0.0931939904840973,0.45183245621127,0.651389686197133,0.999733014012761,"ns"
