"ensembl_id","symbol","gene_name","entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"ENSRNOG00000046834","C3","complement C3","24232",166.410085082302,2.53926852349573,0.247732664689116,10.2500351606128,1.18300496762339e-24,1.60876845547105e-20,"up"
"ENSRNOG00000028648","Olig1","oligodendrocyte transcription factor 1","60394",508.686655369529,-1.00340979673433,0.115909425268058,-8.65684386247098,4.85006343263125e-18,3.29780063101762e-14,"down"
"ENSRNOG00000015093","Sparcl1","SPARC like 1","25434",1976.00055246682,-0.606354273949165,0.0785450326583977,-7.71982967511487,1.16485257641065e-14,5.28027672886946e-11,"down"
"ENSRNOG00000020918","Ccnd1","cyclin D1","58919",938.931892358273,-0.766000788650807,0.105733536644391,-7.24463413370032,4.33608096844708e-13,1.4741591272478e-09,"down"
"ENSRNOG00000002461","Nid1","nidogen 1","25494",811.054413910568,-0.730342034516131,0.103600455813874,-7.0496025213272,1.79429592935504e-12,4.88012606865985e-09,"down"
"ENSRNOG00000018454","Apoe","apolipoprotein E","25728",869.773544194376,0.816246205476605,0.118346027189154,6.89711539004165,5.30690756064551e-12,1.20281059862031e-08,"up"
"ENSRNOG00000046254","Adgre1","adhesion G protein-coupled receptor E1","316137",83.8045670713764,2.02053349861534,0.297954575343291,6.78134744629232,1.19060155825949e-11,2.02387382384634e-08,"up"
"ENSRNOG00000001480","Ncf1","neutrophil cytosolic factor 1","114553",135.777160574115,1.833096823772,0.285243717315326,6.42642313396016,1.30641433802511e-10,1.77776673698522e-07,"up"
"ENSRNOG00000010763",NA,NA,NA,574.439454789345,-0.65104365626712,0.109944117513238,-5.921586993399,3.18849562098973e-09,3.61336266248661e-06,"down"
"ENSRNOG00000001795","Itgb5","integrin subunit beta 5","257645",193.836319196456,-1.00406188736979,0.181369376237458,-5.53600562674496,3.09447628855027e-08,2.80545220319967e-05,"down"
"ENSRNOG00000017980","Itgal","integrin subunit alpha L","308995",61.5893178386703,1.86641384179905,0.356258395695682,5.23893293280687,1.61507714524614e-07,0.000122019078323346,"up"
"ENSRNOG00000009919","Acod1","aconitate decarboxylase 1","306127",19.015543965321,4.03006680596484,0.775476010946808,5.19689422893221,2.02645585963308e-07,0.000145040911763949,"up"
"ENSRNOG00000049402","Nbl1","NBL1, DAN family BMP antagonist","50594",382.47286353861,-0.661082279879395,0.128399145782937,-5.14865013975229,2.62367730554612e-07,0.000169901846086294,"down"
"ENSRNOG00000028658","Olig2","oligodendrocyte transcription factor 2","304103",350.5588851619,-0.730942951331923,0.142955844286989,-5.11306798947324,3.16968148267639e-07,0.000187410862969201,"down"
"ENSRNOG00000043098","Mt2","metallothionein 2","689415",260.318344206497,-0.755842572522291,0.154277915985381,-4.89922726590313,9.62143034180139e-07,0.000545174296742322,"down"
"ENSRNOG00000009740","Slco1c1","solute carrier organic anion transporter family, member 1c1","84511",549.959069898426,-0.612682440316441,0.126755525831512,-4.83357578533375,1.34102193868941e-06,0.000717005333305777,"down"
"ENSRNOG00000051077",NA,NA,NA,313.376158734468,0.857445114070969,0.182415378354186,4.7005089253282,2.59513912533327e-06,0.00126040346305025,"up"
"ENSRNOG00000021750","Id1","inhibitor of DNA binding 1","25261",269.216493196856,-0.770964979291438,0.168046163870134,-4.58781659477357,4.47905863563212e-06,0.00174030623959889,"down"
"ENSRNOG00000026124","Id3","inhibitor of DNA binding 3","25585",727.292741857287,-0.590058560245444,0.131887264914487,-4.47396161128996,7.67835330963379e-06,0.00290049796271416,"down"
"ENSRNOG00000051922",NA,NA,NA,227.791718387119,-0.729332815996849,0.169097519576128,-4.31308997213589,1.60988564536156e-05,0.00561354740801843,"down"
"ENSRNOG00000046308",NA,NA,NA,184.434693915155,-0.756680475389361,0.180036223135922,-4.20293462176269,2.63476705682351e-05,0.00853099933470069,"down"
"ENSRNOG00000011335","Gpr50","G protein-coupled receptor 50","117097",81.8133602716352,-1.08580752748824,0.258028346727828,-4.20809396044214,2.57533785009026e-05,0.00853099933470069,"down"
"ENSRNOG00000009112","Pon2","paraoxonase 2","296851",220.479668661012,-0.624967624100241,0.157898639109935,-3.9580304657668,7.55703206260454e-05,0.0183514426820284,"down"
"ENSRNOG00000048668",NA,NA,NA,164.947085934956,-0.866935990952651,0.219791517122323,-3.94435600747123,8.00147145363769e-05,0.0190898263680735,"down"
"ENSRNOG00000004332","Egfr","epidermal growth factor receptor","24329",125.876908312197,-0.823462170108152,0.214900704372541,-3.83182629630026,0.00012719553493288,0.0274560647547975,"down"
